12/04/2019 01:47
-0.722
0
[0.19, '01:47:13.287914', True]
[0.33, '01:47:13.423109', True]
[0.36, '01:47:13.563863', True]
[0.36, '01:47:13.696123', True]
[0.37, '01:47:13.841238', True]
[0.38, '01:47:14.006979', True]
[0.28, '01:47:14.185337', True]
[0.21, '01:47:14.318357', True]
[0.3, '01:47:14.450057', True]
[0.25, '01:47:14.593571', True]
[0.17, '01:47:14.767837', True]
[0.17, '01:47:14.934928', True]
[0.29, '01:47:15.077646', True]
[0.25, '01:47:15.222794', True]
[0.24, '01:47:15.356318', True]
[0.22, '01:47:15.490597', True]
[0.28, '01:47:15.621083', True]
[0.35, '01:47:15.764467', True]
[0.18, '01:47:15.897727', True]
[0.3, '01:47:16.071715', True]
[0.28, '01:47:16.214147', True]
[0.25, '01:47:16.346647', True]
[0.25, '01:47:16.490091', True]
[0.2, '01:47:16.620913', True]
[0.21, '01:47:16.762074', True]
[0.26, '01:47:16.895861', True]
[0.29, '01:47:17.040388', True]
[0.31, '01:47:17.214613', True]
[0.32, '01:47:17.382346', True]
[0.33, '01:47:17.527867', True]
[0.3, '01:47:17.690661', True]
[0.21, '01:47:17.832823', True]
[0.31, '01:47:18.006242', True]
[0.34, '01:47:18.142010', True]
[0.36, '01:47:18.275205', True]
[0.2, '01:47:18.414519', True]
[0.16, '01:47:18.548159', True]
[0.28, '01:47:18.690898', True]
[0.33, '01:47:18.832331', True]
[0.35, '01:47:18.963968', True]
[0.28, '01:47:19.109205', True]
[0.2, '01:47:19.244397', True]
[0.2, '01:47:19.376992', True]
[0.29, '01:47:19.518790', True]
[0.32, '01:47:19.650767', True]
[0.34, '01:47:19.829512', True]
[0.25, '01:47:19.994902', True]
[0.28, '01:47:20.141799', True]
[0.27, '01:47:20.276377', True]
[0.33, '01:47:20.410302', True]
[0.36, '01:47:20.553797', True]
[0.36, '01:47:20.686920', True]
[0.34, '01:47:20.830624', True]
